Query is the topic title = "U.S. gas prices"
Doc_ID JM_Score
51080 -3.458297263778477
51082 -3.458297263778477
65942 -3.8843009303015075
41275 -3.912282211934317
68177 -3.9969643183901407
34033 -4.088481932659976
71547 -4.122044405248146
82567 -4.127446166859517
38614 -4.131450017183667
28125 -4.138034974115317
52752 -4.138034974115317
13151 -4.153407844987034
51488 -4.208423789225811
62324 -4.447079445986415
65019 -4.6183688154460985
67199 -4.645572133296534
26074 -4.698054775977094
13902 -4.779818305247623
64393 -4.793153641626592
82059 -4.945315449769252
63311 -5.0433110078804315
62314 -5.080128143904938
63307 -5.116366339465365
35105 -5.233342243106335
63279 -5.2378594562441325
36308 -5.249839425090232
