Query is the topic title = "Terrorism Middle East tourism"
Doc_ID JM_Score
38920 -10.110921878868709
71167 -10.276803585666187
38356 -10.535760218576398
78595 -10.55226808510197
42439 -10.628585013856203
72320 -10.679071032064941
16827 -10.798237881861427
85147 -10.982248060515929
41791 -11.151878562044102
30597 -11.38257983365549
27404 -11.469797972727571
25590 -11.840892618709079
28185 -11.845468269500797
86950 -11.876288172309653
13264 -11.924810985028712
54109 -11.92945207615477
15458 -11.943265477981878
69330 -12.01101245721522
3595 -12.109218371372478
6163 -12.128492094768996
18552 -12.130360260607961
23408 -12.130360260607961
14956 -12.172176909562138
79578 -12.200874726584958
29675 -12.209297503805406
3601 -12.293014561142224
60008 -12.298528907552248
72796 -12.314929164359484
69331 -12.323320869772845
82926 -12.368377568153704
75434 -12.370118987500579
53296 -12.37934629322023
26495 -12.38208784008595
59210 -12.436801205180684
76441 -12.440271404016439
85987 -12.448745491814524
21659 -12.489573352166994
25645 -12.489573352166994
8052 -12.497928920552198
19408 -12.537331691215764
83267 -12.537525586579477
82164 -12.539595003178269
19413 -12.540494193769057
4839 -12.543400802434157
83264 -12.544672483270872
6304 -12.579407739013696
82163 -12.58412338121216
64271 -12.597791150615686
83813 -12.604074098155685
79565 -12.645535363854888
12741 -12.654592531204894
78572 -12.660757944258226
78574 -12.662794396961594
82907 -12.715644768166698
83809 -12.727063300445913
83804 -12.737372608948723
22546 -12.752165070142874
60334 -12.768748280825658
53185 -12.777626091628335
58418 -12.791569852264082
9456 -12.869424443355353
80280 -12.874973450257507
78580 -12.927422408566649
4046 -12.935385362158653
80283 -12.959492657316627
75433 -12.973046074833805
75431 -12.986633147263108
75429 -12.996315375582824
22541 -13.019464633743484
82908 -13.039400949410588
78584 -13.077814106483666
32982 -13.107627191003115
13285 -13.112479575942608
81474 -13.124463649410384
53133 -13.236039544869904
75435 -13.429822053605385
26529 -13.652473939951562
39858 -13.652473939951562
42441 -13.652473939951562
46387 -13.652473939951562
54671 -13.652473939951562
56638 -13.652473939951562
61409 -13.652473939951562
68775 -13.652473939951562
68777 -13.652473939951562
7486 -13.652473939951562
76397 -13.652473939951562
78577 -13.652473939951562
78582 -13.652473939951562
79552 -13.652473939951562
82190 -13.652473939951562
