Query is the topic title = "Sport Utility Vehicles U.S."
Doc_ID JM_Score
64966 -5.068905875846169
33961 -5.388908955591342
15744 -5.471340850601161
65210 -5.549609960570234
51493 -5.641055307477924
3008 -5.691881064451638
86042 -5.712869277597026
86961 -5.712869277597026
49633 -6.020071017877028
48148 -6.136499871838569
2493 -6.472056921622368
2494 -6.472056921622368
80483 -6.4994480872516736
80484 -6.4994480872516736
80884 -6.4994480872516736
5225 -6.5762512554807895
5226 -6.5762512554807895
5004 -6.601040446802078
40239 -6.838813813272278
48587 -6.883351159777474
59813 -7.015084385108457
5223 -7.068316392791404
50202 -7.3622653930743445
40259 -7.410508651767868
80118 -7.460795097443725
26711 -7.569043252622098
28198 -7.648001433722079
38229 -8.097621818919258
31141 -8.205255507731351
27966 -8.218439453991435
22961 -8.223162169812214
7937 -8.22569411118019
6635 -8.228588156735388
17650 -8.270684132020136
25263 -8.279418933664074
52175 -8.380785834973869
62213 -8.380785834973869
