Query is the topic title = "Drive-by shootings"
Doc_ID JM_Score
19409 -4.284069283133615
53361 -4.287571315491597
19411 -4.356687379681405
19420 -4.378737996674815
64482 -4.415545583179819
19885 -4.689650520282586
3148 -4.790304843998781
26648 -4.878093169844384
39907 -5.005675955879916
54538 -5.045795219005404
50614 -5.137700546093438
53269 -5.269128453187121
23361 -5.486917533098868
85997 -5.546653927144053
6318 -5.702617326604602
85411 -5.711313116412105
75429 -5.818805728125543
83810 -5.920540738671521
83868 -5.950037128012266
19408 -6.02244941486579
83267 -6.067174109007489
75435 -6.067469817983023
75433 -6.086714218811286
75431 -6.092469678613985
78572 -6.1074403593684
78574 -6.108089023890873
78580 -6.109801823175959
79552 -6.354483691893308
80280 -6.354483691893308
80282 -6.354483691893308
80283 -6.354483691893308
80290 -6.354483691893308
80285 -6.354483691893308
82191 -6.354483691893308
19417 -6.354483691893308
76403 -6.354483691893308
81465 -6.354483691893308
78577 -6.354483691893308
23349 -6.354483691893308
81462 -6.354483691893308
76411 -6.354483691893308
64772 -6.354483691893308
67327 -6.354483691893308
76408 -6.354483691893308
82162 -6.354483691893308
78582 -6.354483691893308
82188 -6.354483691893308
85535 -6.354483691893308
79565 -6.354483691893308
79548 -6.354483691893308
82908 -6.354483691893308
