Query is the topic title = "Harmful weight-loss drugs"
Doc_ID BM25_Score
82290 1.626373599123478
5177 1.583787273870802
5176 1.583787273870802
2829 1.5676720417490244
10759 1.4746664919611157
83932 1.4636289782332634
50314 1.386178847046124
10810 1.2812009815633545
22169 1.2707200354427157
80518 1.2591256296333764
54765 1.1878389211394538
22662 1.0726168731939054
19961 1.0718381625436806
26058 1.0633174463202135
8780 0.9850048873846039
82392 0.9430679727086828
81929 0.9144750834923907
49600 0.6329266892200903
33970 0.6252022294852155
76353 0.6230569753679018
50264 0.5951666734809814
49460 0.5153482819118276
32662 0.5084208329585795
44714 0.48368966938705743
52301 0.46176126128854933
77920 0.4135568863731488
80449 0.4135568863731488
85265 0.32060999962264897
52263 0.2659809863204016
49709 0.21202023322719185
84420 0.2053594916928803
61652 0.20511689028627744
63369 0.20330608258954264
78878 0.20088203454618322
57755 0.2002264431612745
82981 0.19207059053479134
5650 0.1913723656350137
56511 0.19019425454393382
14838 0.18873444569155998
54814 0.18852332096013455
14942 0.18462228488349708
79295 0.1841189195954506
8938 0.18167589998010433
43241 0.17759791165053487
54925 0.17336010665909118
58507 0.17057307439583222
35073 0.13478752783424472
67204 0.11791706232881353
76314 0.11006859777019706
84364 0.09708283095233589
58553 0.09518062418742312
63616 0.0
84272 0.0
