Query is the topic title = "Archaeology discoveries"
Doc_ID ModelC_Score
85143 20.401277010648037
79559 17.385349917938164
79585 15.087402297145841
20188 14.599156340117084
73431 13.262584878393776
79864 11.631867718193757
76422 11.138825625034686
77250 5.914936494408094
72816 5.538060313841515
83291 3.0051381638651287
26903 2.928590153329045
66894 2.8704197549273363
24911 2.5384106606764867
3541 2.3886294931675973
81084 2.1719274869544467
70303 2.032175649181845
68716 1.820816487879373
53140 1.7908805385962592
32034 1.588119053163695
83284 1.4994207644560489
67922 1.3201718207124327
60110 1.243468426538207
22679 0.9159941222370201
74010 0.5551481560997337
13248 0.0
43329 0.0
49463 0.0
49575 0.0
51927 0.0
78749 0.0
68718 -0.08508489787063818
82679 -0.10036981589457687
75243 -0.11141227103771575
52741 -0.1247030798690185
82598 -0.13706999577578502
52940 -0.14537105720220636
82609 -0.1550925426249295
82279 -0.1558343083661314
71542 -0.15968495437182192
71543 -0.16047572925621245
78863 -0.16085959415056825
74017 -0.1618712714011917
86514 -0.1641594547757555
82616 -0.1649536949588858
79369 -0.16522642628350862
71555 -0.16725549781141297
