Query is the topic title = "Child labor laws"
Doc_ID JM_Score
64033 -5.995542669344978
27215 -6.030929866398018
3740 -6.0355897595187535
64070 -6.156048066855828
24214 -6.1579282510497935
66961 -6.258013587884226
61170 -6.344980404324403
70233 -6.438507519353146
66923 -6.58058944362378
75201 -6.605409766673002
26085 -6.724568379056398
26088 -6.729364194810191
4933 -6.890608920986395
32366 -6.9312138222809745
60528 -7.0021416807419
84584 -7.027799223911854
16575 -7.0902457736392055
58476 -7.097969714907137
39335 -7.159023870929664
25172 -7.1686467591403025
56170 -7.1817715815844005
20973 -7.245054060953169
67861 -7.329617987186424
49879 -7.385333008278604
22751 -7.458077019640736
37136 -7.488254873244822
16343 -7.530944834102559
13342 -7.540921864131938
24515 -7.541763620090686
16954 -7.592394687322676
15875 -7.602205481354368
28598 -7.671980231500785
75591 -7.681987495917592
67634 -7.777233133084786
3972 -7.787735031618206
26598 -7.792063529633485
76675 -7.796968604316437
9846 -7.796968604316437
58888 -7.816228713423313
65394 -7.841012797677103
25134 -7.869787087238754
68037 -7.9769810450597936
59464 -7.986210493393198
39173 -8.127544555192955
71345 -8.182529384432158
77428 -8.276008101923875
78727 -8.276008101923875
73326 -8.560276861714467
80709 -8.560276861714467
80893 -8.560276861714467
9591 -8.560276861714467
