Query is the topic title = "Terrorism Middle East tourism"
Doc_ID ModelC_Score
23408 29.528894163100997
18552 29.40862723670375
28185 18.5016497008304
6163 16.63730287392243
60334 9.234646372554966
16827 6.803421696343344
82926 5.503502558405874
25590 4.672864258076938
41791 3.5615685553184044
72320 3.441271116298675
61409 2.2378070759546613
46387 2.034472052962097
85147 1.9824237775060252
7486 1.813969295137245
68777 1.742906278441711
13285 1.2227953218271033
53185 0.9200253863324246
42439 0.7848453783580105
26529 0.6691146932513165
38356 0.46947231517477395
72796 0.14817365626809353
42441 0.0
68775 0.0
76397 0.0
78577 0.0
78582 0.0
79552 0.0
82190 0.0
71167 -0.13533096378561305
26495 -0.17761407919579675
82908 -0.18941368294747152
27404 -0.40597821873489437
80283 -0.42888074690672007
4046 -0.444336441393286
78595 -0.529677254071363
53296 -0.5871859071455834
78584 -0.6155720924952114
56638 -0.7392013969998181
30597 -0.7730091586472274
54671 -0.8542735195868911
75434 -0.9315352473368521
38920 -0.9442726150683864
39858 -0.9629538148508178
78580 -1.1473011906683421
75435 -1.342082191804645
53133 -1.3693077884834692
4839 -1.417328720505699
8052 -1.5150974052638781
78574 -1.6310305515569594
78572 -1.6319319432289414
9456 -1.7068487063102304
81474 -1.8883383012572827
22541 -1.930276136168568
32982 -2.0309276735440696
76441 -2.033769130477001
3601 -2.175232511341169
83804 -2.3567320200851736
19413 -2.392765427189987
75431 -2.4736745096756523
86950 -2.5012221842462363
69330 -2.5339544079005893
3595 -2.555217316908835
79565 -2.5760213001534096
75433 -2.6117289859320554
75429 -2.6869458361374807
80280 -2.7004693480125592
83267 -2.7785384778145854
6304 -2.782202537346873
83809 -2.7968515254601445
29675 -2.8072897268421872
83264 -2.8282808967947632
22546 -2.854049184896385
79578 -3.04837531360164
19408 -3.0569801834277297
82907 -3.110568944325639
58418 -3.1214989378507076
54109 -3.302567856484626
83813 -3.3185904569131335
82163 -3.5559607080167064
59210 -3.627486770613735
82164 -3.628088043043161
12741 -3.660722758024564
21659 -3.7141891192640433
25645 -3.7141891192640433
60008 -3.781950236544375
64271 -3.782510633760647
85987 -3.8016190913945915
69331 -3.8237795869834885
14956 -4.20148811560944
15458 -4.232764554569836
13264 -4.5835989879213015
