Query is the topic title = "Ford foreign ventures"
Doc_ID JM_Score
37816 -6.175090020577178
13685 -6.271830385398571
25500 -6.5762182750433045
17217 -6.612323958235947
17030 -6.612323958235947
13690 -6.674095458438822
7722 -6.769596340570937
40234 -6.989314546541583
37815 -7.00350009660601
79404 -7.094016808370015
4053 -7.1415594457852976
2323 -7.1415594457852976
43262 -7.180106628191542
76103 -7.27809778264156
2451 -7.307783518216105
75767 -7.340336928098806
86209 -7.425356079980186
24251 -7.476236746671768
38335 -7.710685294824145
43868 -7.741448801909705
86541 -7.8008553213614285
43200 -7.805774600356434
36588 -7.868271225289749
65408 -7.885029579500342
56691 -7.909579824567311
47661 -7.958148090192466
5316 -7.969154462799038
43612 -7.998622886086142
30405 -8.006872073995874
67741 -8.031783526499483
86255 -8.038053508241056
84403 -8.045430551701802
86289 -8.05026236570964
86276 -8.056208183652608
43994 -8.056208183652608
78846 -8.062052623447997
18151 -8.07773325133743
35765 -8.086639141297864
67983 -8.107533640052074
47712 -8.109186708035391
86259 -8.13473958159488
38143 -8.139369255597144
85209 -8.147540319108627
85642 -8.147540319108627
82337 -8.178298551761452
80504 -8.178298551761452
81997 -8.223715810601467
13607 -8.227216071561497
35766 -8.24413727640412
33766 -8.351022598830903
33767 -8.351022598830903
35652 -8.351022598830903
38629 -8.390421496094156
12556 -8.412824224875484
12557 -8.412824224875484
24446 -8.447753626756331
24826 -8.447753626756331
18364 -8.455376510725538
31267 -8.650301250114346
32579 -8.650301250114346
31268 -8.650301250114346
86961 -8.656314199073972
86042 -8.656314199073972
25467 -8.739172262473069
12293 -8.985186610256637
36580 -8.985186610256637
69316 -8.985186610256637
23253 -8.985186610256637
