Query is the topic title = "Sport Utility Vehicles U.S."
Doc_ID ModelC_Score
64966 -7.68822294316426
65210 -8.256711605292377
15744 -8.762641959677742
86042 -9.156761903021241
86961 -9.160644491273443
33961 -9.434331571802302
5225 -9.464391491460923
5226 -9.464391491460923
5004 -9.492977868321864
2493 -9.515917597457488
2494 -9.515917597457488
51493 -9.549564419313786
40239 -9.655121125952183
80884 -9.671267876428239
80483 -9.671302452172531
80484 -9.671302452172531
3008 -9.743709206254467
49633 -9.784799789294306
48148 -9.799737547844277
28198 -9.968980591945922
5223 -9.98444040764721
26711 -10.036480546948791
48587 -10.075338874204148
80118 -10.272019969861187
59813 -10.366819640461646
40259 -10.52853104908961
50202 -10.563126292648441
52175 -10.748795831521392
62213 -10.751357053474795
38229 -10.81328692982203
31141 -10.843175252448402
27966 -10.852003201914195
22961 -10.853722075535492
7937 -10.855829817737876
6635 -10.858247054904838
25263 -10.900284072919073
17650 -10.94227731880055
