Query is the topic title = "NAFTA"
Doc_ID BM25_Score
84829 0.390353966241194
58009 0.3790893882067727
9133 0.37868180074378927
8622 0.37868180074378927
24044 0.3767603917196762
31619 0.364002391259302
51453 0.3619882446943339
51260 0.34828888200224556
52489 0.3476199532916139
60293 0.34595881939566797
75205 0.33250604227893493
85344 0.3093035414648253
85663 0.2787383814381421
52661 0.2785239123064892
55609 0.24987683711067685
83678 0.24714718572667313
68709 0.2254442047089478
61165 0.21310139993779467
37202 0.20170221658302406
66895 0.1656949548494052
66880 0.1643409101215196
58199 0.0
75183 0.0
46161 0.0
85759 0.0
61161 0.0
25903 0.0
41074 0.0
46152 0.0
43605 0.0
60154 0.0
46157 0.0
60224 0.0
